N P K temperature rainfall humidity ph label
LowN HighP HighK LowTemperature HighRainfall HighHumidity HighPh apple
LowN LowP LowK HighTemperature LowRainfall HighHumidity HighPh mungbean
LowN HighP HighK LowTemperature LowRainfall LowHumidity HighPh chickpea
LowN LowP LowK HighTemperature LowRainfall HighHumidity LowPh mothbeans
LowN HighP LowK HighTemperature HighRainfall HighHumidity HighPh banana
LowN LowP LowK HighTemperature HighRainfall HighHumidity HighPh orange
HighN LowP HighK LowTemperature LowRainfall HighHumidity LowPh watermelon
LowN HighP LowK HighTemperature LowRainfall HighHumidity HighPh mothbeans
HighN HighP HighK LowTemperature HighRainfall HighHumidity LowPh apple
HighN LowP HighK LowTemperature HighRainfall HighHumidity HighPh rice
LowN HighP HighK HighTemperature HighRainfall HighHumidity HighPh papaya
LowN LowP LowK HighTemperature LowRainfall HighHumidity HighPh mothbeans
LowN HighP LowK LowTemperature LowRainfall HighHumidity HighPh lentil
LowN HighP LowK HighTemperature LowRainfall HighHumidity HighPh mothbeans
HighN HighP LowK LowTemperature LowRainfall HighHumidity LowPh maize
LowN HighP HighK HighTemperature HighRainfall HighHumidity HighPh papaya
HighN HighP LowK LowTemperature HighRainfall HighHumidity HighPh cotton
HighN LowP HighK HighTemperature HighRainfall HighHumidity LowPh coffee
HighN LowP HighK HighTemperature HighRainfall HighHumidity LowPh jute
HighN HighP LowK LowTemperature LowRainfall HighHumidity HighPh maize
HighN HighP LowK HighTemperature LowRainfall HighHumidity HighPh blackgram
LowN HighP HighK HighTemperature HighRainfall HighHumidity HighPh papaya
LowN HighP LowK HighTemperature HighRainfall HighHumidity LowPh pigeonpeas
LowN LowP LowK HighTemperature HighRainfall HighHumidity LowPh coconut
LowN LowP LowK HighTemperature LowRainfall HighHumidity LowPh mungbean
HighN HighP HighK LowTemperature LowRainfall HighHumidity LowPh banana
HighN LowP LowK LowTemperature HighRainfall HighHumidity LowPh coffee
LowN LowP LowK HighTemperature LowRainfall HighHumidity HighPh mungbean
HighN HighP HighK LowTemperature HighRainfall HighHumidity HighPh jute
HighN HighP HighK HighTemperature HighRainfall HighHumidity LowPh banana
HighN LowP HighK HighTemperature LowRainfall HighHumidity HighPh muskmelon
LowN HighP HighK LowTemperature HighRainfall HighHumidity LowPh apple
HighN HighP LowK HighTemperature HighRainfall LowHumidity LowPh pigeonpeas
HighN HighP HighK LowTemperature HighRainfall LowHumidity LowPh blackgram
LowN HighP HighK LowTemperature LowRainfall HighHumidity HighPh orange
HighN HighP LowK LowTemperature LowRainfall HighHumidity HighPh maize
HighN LowP HighK LowTemperature LowRainfall HighHumidity HighPh watermelon
HighN LowP HighK HighTemperature HighRainfall HighHumidity HighPh rice
HighN LowP HighK HighTemperature HighRainfall HighHumidity LowPh jute
HighN HighP LowK HighTemperature HighRainfall HighHumidity HighPh papaya
LowN HighP HighK LowTemperature LowRainfall HighHumidity HighPh grapes
LowN HighP HighK LowTemperature LowRainfall HighHumidity HighPh grapes
HighN LowP HighK LowTemperature HighRainfall HighHumidity HighPh rice
LowN HighP HighK HighTemperature HighRainfall HighHumidity LowPh coffee
LowN LowP LowK LowTemperature HighRainfall HighHumidity HighPh orange
HighN HighP LowK HighTemperature HighRainfall HighHumidity LowPh pigeonpeas
HighN LowP HighK LowTemperature LowRainfall LowHumidity LowPh cotton
HighN HighP LowK LowTemperature HighRainfall HighHumidity LowPh chickpea
HighN HighP LowK LowTemperature LowRainfall HighHumidity HighPh cotton
HighN LowP LowK HighTemperature LowRainfall HighHumidity LowPh maize
HighN LowP HighK LowTemperature LowRainfall HighHumidity LowPh watermelon
HighN HighP HighK LowTemperature LowRainfall HighHumidity HighPh papaya
LowN LowP LowK HighTemperature HighRainfall HighHumidity LowPh coconut
HighN LowP HighK LowTemperature HighRainfall HighHumidity HighPh jute
HighN HighP HighK HighTemperature LowRainfall HighHumidity LowPh grapes
HighN HighP LowK HighTemperature HighRainfall LowHumidity HighPh coffee
HighN LowP LowK HighTemperature LowRainfall HighHumidity HighPh mothbeans
LowN HighP HighK LowTemperature LowRainfall HighHumidity HighPh grapes
LowN LowP LowK HighTemperature HighRainfall HighHumidity LowPh mango
HighN LowP LowK HighTemperature HighRainfall HighHumidity LowPh coffee
LowN LowP LowK HighTemperature HighRainfall LowHumidity HighPh orange
LowN HighP LowK LowTemperature HighRainfall LowHumidity HighPh pigeonpeas
HighN LowP LowK LowTemperature LowRainfall HighHumidity LowPh maize
LowN LowP HighK LowTemperature LowRainfall HighHumidity LowPh grapes
HighN LowP HighK LowTemperature HighRainfall HighHumidity LowPh jute
HighN HighP HighK HighTemperature HighRainfall HighHumidity LowPh banana
LowN HighP LowK LowTemperature HighRainfall LowHumidity HighPh coconut
LowN LowP LowK LowTemperature LowRainfall LowHumidity HighPh rice
HighN HighP LowK LowTemperature HighRainfall LowHumidity LowPh kidneybeans
HighN LowP LowK LowTemperature LowRainfall LowHumidity HighPh coffee
HighN LowP HighK LowTemperature LowRainfall LowHumidity HighPh rice
LowN LowP HighK HighTemperature HighRainfall HighHumidity HighPh papaya
HighN HighP HighK HighTemperature HighRainfall HighHumidity LowPh banana
HighN HighP LowK LowTemperature HighRainfall LowHumidity LowPh coffee
LowN LowP LowK LowTemperature HighRainfall HighHumidity HighPh orange
LowN LowP HighK HighTemperature HighRainfall HighHumidity LowPh mango
HighN LowP LowK HighTemperature HighRainfall HighHumidity HighPh coffee
LowN LowP HighK HighTemperature LowRainfall HighHumidity LowPh mango
